id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
50480,"Rua Valê do Queimadinho - Liberdade, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,CAIXA D AGUA,,,-12.9586607,-38.4983746,"01/07/2022, 06:00:00",false,false,,Homicidio/Tentativa,,,false,ce4fa168-9551-4e8b-8154-8dd429c4418a,People,dead,Sem identificação,"30/06/2022, 21:00:00",Civilian,49,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,4006f066-9ae3-4454-9bfc-0b651557eaf6,People,dead,Sem identificação,"01/07/2022, 14:52:00",Civilian,35,adulto,homem cis,Negra,transporte público,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,1da46b4c-444e-457d-8ecc-c271d6b0fbdb,People,wounded,Sem identificação,,Civilian,25,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,7924961c-2199-4f1d-a9fe-001be62470ee,People,wounded,Sem identificação,,Civilian,59,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,abcdf8e8-4728-437f-afd4-769095dad86b,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,0713a104-f0e6-47a1-8a28-3165c86f3b23,People,wounded,Sem identificação,,Civilian,57,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,92a23568-c7a7-4a3f-83c4-33776be08fb8,People,wounded,Sem identificação,,Civilian,50,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50470,"Rua da Indonésia - Granjas Rurais Presidente Vargas, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,GRANJAS RURAIS PRESIDENTE VARGAS,,,-12.9255147,-38.4652309,"01/07/2022, 14:52:00",false,false,,Homicidio/Tentativa,,,false,132054f6-10d8-4256-8483-a03b671194f8,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50481,"Rua Muniz Travasso - Coutos, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,COUTOS,ALTO DE COUTOS,,-12.8524948,-38.4682238,"01/07/2022, 19:50:00",false,false,,Homicidio/Tentativa,,,false,028769e5-4d16-4df7-8c01-5cd5ecc1e78a,People,wounded,Sem identificação,,Civilian,23,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50481,"Rua Muniz Travasso - Coutos, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,COUTOS,ALTO DE COUTOS,,-12.8524948,-38.4682238,"01/07/2022, 19:50:00",false,false,,Homicidio/Tentativa,,,false,a3020327-d2fa-4bcc-9004-38bd7e226644,People,wounded,Sem identificação,,Civilian,25,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50481,"Rua Muniz Travasso - Coutos, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,COUTOS,ALTO DE COUTOS,,-12.8524948,-38.4682238,"01/07/2022, 19:50:00",false,false,,Homicidio/Tentativa,,,false,57746823-562a-4ddf-9fb1-7b0871f11e5d,People,wounded,Sem identificação,,Civilian,19,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50525,"Avenida Peixe - Pero Vaz, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,PERO VAZ,,AVENIDA PEIXE,-12.9543443,-38.4907617,"01/07/2022, 21:00:00",false,false,,Disputa,,,false,4ce81f85-e1e8-4a2b-9d30-79678504222b,People,dead,Sem identificação,"01/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50561,"Praça Arthur Lago - Pernambués, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,PERNAMBUES,CHACARA PERSEVERANCA,,-12.9665429,-38.4658082,"02/07/2022, 21:30:00",false,false,,Não identificado,,,false,922f6eec-93ca-446e-aa24-e92a3d59ccc7,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50552,"Uruguai, Salvador - BA, Brasil",Nordeste,Bahia,Salvador,URUGUAI,,,-12.9369031,-38.4943721,"04/07/2022, 16:00:00",true,true,PM (17ª CIPM),Ação policial,,Perseguição,false,db196f37-0416-41ff-b4a1-b019d1811088,People,dead,Sem identificação,"04/07/2022, 19:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
